film,filmLabel
http://www.wikidata.org/entity/Q372,We Live in Public
http://www.wikidata.org/entity/Q593,A Gang Story
http://www.wikidata.org/entity/Q595,The Intouchables
http://www.wikidata.org/entity/Q1365,Swept Away
http://www.wikidata.org/entity/Q2201,Kick-Ass
http://www.wikidata.org/entity/Q2345,12 Angry Men
http://www.wikidata.org/entity/Q2875,Gone with the Wind
http://www.wikidata.org/entity/Q3092,The Man Between
http://www.wikidata.org/entity/Q3187,Rough Night in Jericho
http://www.wikidata.org/entity/Q3208,Alien Raiders
http://www.wikidata.org/entity/Q3242,A Fantastic Fear of Everything
http://www.wikidata.org/entity/Q3589,The Manchurian Candidate
http://www.wikidata.org/entity/Q3997,Nalai Manithan
http://www.wikidata.org/entity/Q3998,Adhisaya Manithan
http://www.wikidata.org/entity/Q4005,Vaa Arugil Vaa
http://www.wikidata.org/entity/Q4430,Cleopatra
http://www.wikidata.org/entity/Q4444,Wanted
http://www.wikidata.org/entity/Q4471,Delirious
http://www.wikidata.org/entity/Q4479,Mirageman
http://www.wikidata.org/entity/Q4536,Matchstick Men
http://www.wikidata.org/entity/Q4657,Percy
http://www.wikidata.org/entity/Q4733,Bloodbath at the House of Death
http://www.wikidata.org/entity/Q4739,The Oranges
http://www.wikidata.org/entity/Q4815,Percy's Progress
http://www.wikidata.org/entity/Q4941,Skyfall
http://www.wikidata.org/entity/Q5590,Four Lions
http://www.wikidata.org/entity/Q5890,V for Vendetta
http://www.wikidata.org/entity/Q6074,Star Wars: Episode VII – The Force Awakens
http://www.wikidata.org/entity/Q7216,Pirates II: Stagnetti's Revenge
http://www.wikidata.org/entity/Q8328,Gotcha!
http://www.wikidata.org/entity/Q8547,Special Effects: Anything Can Happen
http://www.wikidata.org/entity/Q8594,101 Dalmatians
http://www.wikidata.org/entity/Q8907,¿¡Revolución!?
http://www.wikidata.org/entity/Q11593,The Last Airbender
http://www.wikidata.org/entity/Q11618,Eraserhead
http://www.wikidata.org/entity/Q11621,E.T. the Extra-Terrestrial
http://www.wikidata.org/entity/Q11928,Swing Vote
http://www.wikidata.org/entity/Q12018,8½
http://www.wikidata.org/entity/Q13908,Hackers
http://www.wikidata.org/entity/Q14320,The Day After Tomorrow
http://www.wikidata.org/entity/Q15618,Oxygen
http://www.wikidata.org/entity/Q16403,And Now for Something Completely Different
http://www.wikidata.org/entity/Q16453,Bichhoo
http://www.wikidata.org/entity/Q16458,The Sisterhood of the Traveling Pants 2
http://www.wikidata.org/entity/Q16516,Thursday
http://www.wikidata.org/entity/Q16782,Buried
http://www.wikidata.org/entity/Q17450,iGo to Japan
http://www.wikidata.org/entity/Q17738,Star Wars: Episode IV – A New Hope
http://www.wikidata.org/entity/Q18321,Konungens af Siam landstigning vid Logårdstrappan
http://www.wikidata.org/entity/Q18331,Docking the Boat
http://www.wikidata.org/entity/Q18395,Variety Lights
http://www.wikidata.org/entity/Q18397,The White Sheik
http://www.wikidata.org/entity/Q18399,I Vitelloni
http://www.wikidata.org/entity/Q18401,Love in the City
http://www.wikidata.org/entity/Q18402,La Strada
http://www.wikidata.org/entity/Q18403,Il bidone
http://www.wikidata.org/entity/Q18405,Nights of Cabiria
http://www.wikidata.org/entity/Q18407,La Dolce Vita
http://www.wikidata.org/entity/Q18409,Boccaccio '70
http://www.wikidata.org/entity/Q18411,Juliet of the Spirits
http://www.wikidata.org/entity/Q18415,Spirits of the Dead
http://www.wikidata.org/entity/Q18416,Satyricon
http://www.wikidata.org/entity/Q18418,Fellini: A Director's Notebook
http://www.wikidata.org/entity/Q18421,The Clowns
http://www.wikidata.org/entity/Q18423,Roma
http://www.wikidata.org/entity/Q18428,Amarcord
http://www.wikidata.org/entity/Q18429,Fellini's Casanova
http://www.wikidata.org/entity/Q18431,Orchestra Rehearsal
http://www.wikidata.org/entity/Q18433,City of Women
http://www.wikidata.org/entity/Q18437,And the Ship Sails On
http://www.wikidata.org/entity/Q18439,Ginger and Fred
http://www.wikidata.org/entity/Q18441,Intervista
http://www.wikidata.org/entity/Q18442,The Voice of the Moon
http://www.wikidata.org/entity/Q18444,Lo vedi come sei... lo vedi come sei?
http://www.wikidata.org/entity/Q18954,Tron: Legacy
http://www.wikidata.org/entity/Q18964,Birthday Girl
http://www.wikidata.org/entity/Q18967,National Lampoon's Van Wilder
http://www.wikidata.org/entity/Q19069,The Magnificent Seven
http://www.wikidata.org/entity/Q19089,GoldenEye
http://www.wikidata.org/entity/Q19268,Paradise Alley
http://www.wikidata.org/entity/Q19276,Tu mi turbi
http://www.wikidata.org/entity/Q19303,Farewell to Enrico Berlinguer
http://www.wikidata.org/entity/Q19311,Nothing Left to Do But Cry
http://www.wikidata.org/entity/Q19320,The Little Devil
http://www.wikidata.org/entity/Q19322,Johnny Stecchino
http://www.wikidata.org/entity/Q19352,The Monster
http://www.wikidata.org/entity/Q19355,Life is Beautiful
http://www.wikidata.org/entity/Q19356,Pinocchio
http://www.wikidata.org/entity/Q19358,The Tiger and the Snow
http://www.wikidata.org/entity/Q19393,Whale Rider
http://www.wikidata.org/entity/Q19405,The Ninth Gate
http://www.wikidata.org/entity/Q20456,Dances with Wolves
http://www.wikidata.org/entity/Q20475,Yojimbo
http://www.wikidata.org/entity/Q22432,Signs
http://www.wikidata.org/entity/Q23089,Do Bigha Zamin
http://www.wikidata.org/entity/Q23395,Fear and Loathing in Las Vegas
http://www.wikidata.org/entity/Q23771,El astronauta
http://www.wikidata.org/entity/Q23871,The Brest Fortress
http://www.wikidata.org/entity/Q23892,Africa Screams
http://www.wikidata.org/entity/Q23896,Abbott and Costello in the Foreign Legion
http://www.wikidata.org/entity/Q24075,Godzilla
http://www.wikidata.org/entity/Q24151,Alligator II – The Mutation
http://www.wikidata.org/entity/Q24154,Van Diemen's Land
http://www.wikidata.org/entity/Q24196,The Hidden Face
http://www.wikidata.org/entity/Q24258,Visions of Light
http://www.wikidata.org/entity/Q24340,Anna Karamazoff
http://www.wikidata.org/entity/Q24515,Shaolin
http://www.wikidata.org/entity/Q24585,July 14
http://www.wikidata.org/entity/Q24618,Jaded
